No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
1,A001-001,General,Real Property,163965816.00,165111092.00,178903590.00,185564404.00,200991563.00,217397642.00,233078593.00,256506569.00,277965954.00,302882137.00,330050542.00,354707193.00,372735025.00,383309562.00,393535163.00,407103601.00,411126853.00,404920328.00,398125703.00,396828496.00,395342537.00,392995380.00,395239351.00,392177258.00,401055584.00,413693874.00,427788601.00,449977508.00,482502819.00,524483392.00,594401698.00,699055826.00,787408147.00,814868078.00,789577186.00,754741990.00,743300936.00,750731064.00,780845981.00,815792723.00
2,A001-002,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
3,A001-004,General,Personal Property - Ordinary Business Corps,37124208.00,34056159.00,33366659.00,15270467.00,17003620.00,17423652.00,17606388.00,24150454.00,27707185.00,31454612.00,31851075.00,34573001.00,34808178.00,37440039.00,37326996.00,34970455.00,36636241.00,37830960.00,38825340.00,41240596.00,40291715.00,40935598.00,45527775.00,46807624.00,45820582.00,48459447.00,45893085.00,45111255.00,44409356.00,46085269.00,48267879.00,47809669.00,50341875.00,50480784.00,56216332.00,54362403.00,53850102.00,51426228.00,53324083.00,51184320.00
4,A001-007,General,Personal Property - Individuals & Firms,1309934.00,1417205.00,1295135.00,1436846.00,1786117.00,2728365.00,2409602.00,2711384.00,3132217.00,3515502.00,4254404.00,5435329.00,6517982.00,6640518.00,6749036.00,4614830.00,4585573.00,4894861.00,3885993.00,2246571.00,1560875.00,2358298.00,1312219.00,2193107.00,1894892.00,1706593.00,2092143.00,1530061.00,1275026.00,1426582.00,611326.00,1351722.00,988741.00,1421488.00,748360.00,1015234.00,1240093.00,672559.00,1637208.00,370624.00
5,A001-008,General,Personal Property - Public Utilities, $-   , $-   , $-   ,16414138.00,16818265.00,16848511.00,17621580.00,17592699.00,16885340.00,16374416.00,18733070.00,19522479.00,20609198.00,22493146.00,28446634.00,30242102.00,28822163.00,30309873.00,29863004.00,31813989.00,28875629.00,36232998.00,42532797.00,50885182.00,50385524.00,46418867.00,53062892.00,54364913.00,48976780.00,49583646.00,46863481.00,43353144.00,45544693.00,46347602.00,49230415.00,48601593.00,49358038.00,54400571.00,50423663.00,51653928.00
6,A001-010,General,Real Property,342579.00,343804.00,597514.00,669181.00,1108484.00,580421.00,1903975.00,2527850.00,2621899.00,94314.00,-174975.00,801125.00,2161841.00,2497868.00,534365.00,5732239.00,1006963.00,-353436.00,-695952.00,2543436.00,3697055.00,4074902.00,5532723.00,7903163.00,7552675.00,6811005.00,7261239.00,4091587.00,7054788.00,5536109.00,8516147.00,14460818.00,9124054.00,21291533.00,5568868.00,3433695.00,3869685.00,14204194.00,12600010.00,4269803.00
7,A001-011,General,Personal Property,9549131.00,1675727.00,1484338.00,1477575.00,842413.00,1452891.00,-497909.00,2267127.00,7044325.00,968164.00,3975289.00,2158285.00,2985411.00,4161279.00,2249854.00,389980.00,3122177.00,3689779.00,1221527.00,4947187.00,5542129.00,5531755.00,6400321.00,4017899.00,895577.00,3401469.00,4275718.00,203278.00,-241498.00,2095880.00,4352970.00,6963964.00,7895530.00,8355318.00,5073754.00,4234359.00,7091146.00,58563.00,-539190.00,-992567.00
8,A001-016,General,Video Lottery Terminals, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,4000000.00,9561331.00,9900000.00
9,A001-021,General,Penalties and Interest,886475.00,1117916.00,840550.00,946576.00,1295234.00,1735260.00,1379914.00,2615424.00,2378177.00,2365930.00,3306809.00,3194745.00,3496869.00,4071970.00,3272225.00,3688373.00,4216375.00,4658417.00,3181088.00,6226781.00,4741233.00,5510483.00,7395132.00,6036175.00,6727838.00,6119726.00,7251658.00,6353292.00,7612200.00,7353009.00,6611799.00,7466777.00,7971760.00,8415465.00,7332324.00,6682832.00,6922036.00,6734601.00,5773486.00,6447269.00
10,A001-022,General,Discounts,-894059.00,-958467.00,-1021691.00,-940044.00,-969935.00,-1028098.00,-1179791.00,-1274631.00,-1635289.00,-1710702.00,-1853527.00,-2042745.00,-2242693.00,-2363030.00,-2380708.00,-2916773.00,-3011802.00,-2983684.00,-3017260.00,-3021368.00,-3044325.00,-2798616.00,-2829054.00,-2202592.00,-2249147.00,-2583085.00,-2640041.00,-2722762.00,-2795310.00,-3103360.00,-3559593.00,-3902169.00,-3848857.00,-1904143.00,-1507322.00,-2051214.00,-1867276.00,-1973515.00,-2023899.00,-2049879.00
