,ID8102,YEAR,OUTCOME,OUTCMYEAR,switcher,instresp,XL.AREA,age1.fav,age2.fav,age3.fav,age4.fav,age5.fav,age6.fav,age7.fav,age8.fav,age9.fav,age10.fav,age11.fav,age12.fav,age1.opp,age2.opp,age3.opp,age4.opp,age5.opp,age6.opp,age7.opp,age8.opp,age9.opp,age10.opp,age11.opp,age12.opp,age1.dk,age2.dk,age3.dk,age4.dk,age5.dk,age6.dk,age7.dk,age8.dk,age9.dk,age10.dk,age11.dk,age12.dk,edu1.fav,edu2.fav,edu3.fav,edu4.fav,edu5.fav,edu6.fav,edu7.fav,edu8.fav,edu9.fav,edu10.fav,edu11.fav,edu12.fav,edu1.opp,edu2.opp,edu3.opp,edu4.opp,edu5.opp,edu6.opp,edu7.opp,edu8.opp,edu9.opp,edu10.opp,edu11.opp,edu12.opp,edu1.dk,edu2.dk,edu3.dk,edu4.dk,edu5.dk,edu6.dk,edu7.dk,edu8.dk,edu9.dk,edu10.dk,edu11.dk,edu12.dk,inc1.fav,inc2.fav,inc3.fav,inc4.fav,inc5.fav,inc6.fav,inc7.fav,inc8.fav,inc9.fav,inc10.fav,inc11.fav,inc12.fav,inc1.opp,inc2.opp,inc3.opp,inc4.opp,inc5.opp,inc6.opp,inc7.opp,inc8.opp,inc9.opp,inc10.opp,inc11.opp,inc12.opp,inc1.dk,inc2.dk,inc3.dk,inc4.dk,inc5.dk,inc6.dk,inc7.dk,inc8.dk,inc9.dk,inc10.dk,inc11.dk,inc12.dk,white.fav,black.fav,hispa.fav,asina.fav,white.opp,black.opp,hispa.opp,asina.opp,white.dk,black.dk,hispa.dk,asian.dk,pid1.fav,pid2.fav,pid3.fav,pid4.fav,pid5.fav,pid6.fav,pid7.fav,pid1.opp,pid2.opp,pid3.opp,pid4.opp,pid5.opp,pid6.opp,pid7.opp,pid1.dk,pid2.dk,pid3.dk,pid4.dk,pid5.dk,pid6.dk,pid7.dk,ideo1.fav,ideo2.fav,ideo3.fav,ideo4.fav,ideo5.fav,ideo6.fav,ideo7.fav,ideo1.opp,ideo2.opp,ideo3.opp,ideo4.opp,ideo5.opp,ideo6.opp,ideo7.opp,ideo1.dk,ideo2.dk,ideo3.dk,ideo4.dk,ideo5.dk,ideo6.dk,ideo7.dk,male.fav,female.fav,male.opp,female.opp,male.dk,female.dk,protes.fav,cathlc.fav,jewish.fav,seculr.fav,protes.opp,cathlc.opp,jewish.opp,seculr.opp,protes.dk,cathlc.dk,jewish.dk,seculr.dk,east.fav,south.fav,midwst.fav,west.fav,east.opp,south.opp,midwst.opp,west.opp,east.dk,south.dk,midwst.dk,west.dk,nounn.fav,union.fav,nounn.opp,union.opp,nounn.dk,union.dk,pred10.sw,pred30.sw,pred50.sw,pred70.sw,pred90.sw,PREDALL.SW,INTGRP.STFAV,INTGRP.SWFAV,INTGRP.STOPP,INTGRP.SWOPP,AARP,AFLCIO,Airlines,AmericanBankersAssociation,AmericanCouncilofLifeInsurance,AmericanFarmBureauFederation,AmericanFederationofStateCountya,AmericanHospitalAssociation,AmericanIsraelPublicAffairsCommi,AmericanLegion,AmericanMedicalAssociation,AssociationofTrialLawyers,Automobilecompanies,ChamberofCommerce,ChristianCoalition,Computersoftwareandhardware,CreditUnionNationalAssociation,Defensecontractors,Electriccompanies,HealthInsuranceAssociation,IndependentInsuranceAgentsofAmer,InternationalBrotherhoodofTeamst,MotionPictureAssociationofAmeric,NationalAssociationofBroadcaster,NationalAssociationofHomeBuilder,NationalAssociationofManufacture,NationalAssociationofRealtors,NationalBeerWholesalersAssociati,NationalEducationAssociation,NationalFederationofIndependentB,NationalGovernorsAssociation,NationalRestaurantAssociation,NationalRifleAssociation,NationalRighttoLifeCommittee,OilCompanies,PharmaceuticalResearchManufactur,RecordingIndustryAssociation,Securitiesandinvestmentcompanies,Telephonecompanies,Tobbacocompanies,UnitedAutoWorkersunion,Universities,VeteransofForeignWarsoftheU.S,ECYN,SWYN,FPYN,RLYN,GNYN,ideology,QuestionText,change,rich.want,middle.want,poor.want,diff
1,36,1981,0,NA,0,2,environment,41,47,58,57,52,101,126,93,0,0,0,0,55,71,80,74,45,76,122,84,0,0,0,0,0,4,7,3,5,6,24,20,0,0,0,0,0,15,15,74,200,120,19,79,54,0,0,0,2,19,23,79,201,110,29,73,68,0,0,0,0,6,5,9,23,12,0,5,6,0,0,0,79,103,133,105,79,54,0,0,0,0,0,0,110,130,140,113,58,33,0,0,0,0,0,0,18,14,14,9,1,4,0,0,0,0,0,0,504,45,14,4,503,67,20,5,44,17,3,2,204,170,202,0,0,0,0,141,198,266,0,0,0,0,17,22,29,0,0,0,0,260,218,82,0,0,0,0,184,268,136,0,0,0,0,21,24,10,0,0,0,0,308,268,266,340,18,51,366,148,20,28,351,177,19,47,49,16,1,1,138,189,150,99,170,162,154,119,20,19,20,10,446,125,427,174,52,13,0.425707877,0.440107167,0.470535159,0.516165376,0.578644991,0.486232114,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,99,"The Reagan Administration, through Secretary of the Interior James Watt, has announced that it wants to lease to oil companies sizable parts of the Pacific Ocean off the California coast for oil exploration. The State of California objects to t",FALSE,TRUE,FALSE,FALSE,1
10,127,1981,0,NA,0,1,taxation,52,70,61,53,46,75,130,130,0,0,0,0,42,60,80,73,54,92,115,80,0,0,0,0,2,2,3,0,1,6,5,4,0,0,0,0,3,16,41,106,222,107,29,64,32,0,0,0,3,13,17,53,187,115,22,104,84,0,0,0,0,0,3,6,7,2,1,1,3,0,0,0,130,131,149,86,53,27,0,0,0,0,0,0,71,91,139,123,76,61,0,0,0,0,0,0,3,4,4,4,2,0,0,0,0,0,0,0,473,95,36,6,509,41,31,7,23,0,1,0,148,196,274,0,0,0,0,157,222,221,0,0,0,0,10,6,8,0,0,0,0,205,269,111,0,0,0,0,213,274,87,0,0,0,0,8,10,1,0,0,0,0,263,357,317,282,2,21,369,171,16,30,353,144,23,47,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,449,166,476,122,21,2,0.641703427,0.581426263,0.512999535,0.436230123,0.357218206,0.505915511,0,0,8,0,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,-2,NA,NA,-2,NA,NA,NA,1,0,0,0,0,1,"As you know, the federal government is now running heavy deficits which could reach 100 billion dollars a year. At the same time, many people believe that more federal money is needed to properly finance Social Security and to build up our mili",FALSE,FALSE,TRUE,TRUE,-1
11,149,1982,0,NA,0,1,soc welfare,34,50,67,44,51,76,113,99,0,0,0,0,64,76,83,86,52,80,119,89,0,0,0,0,2,1,2,4,3,7,15,22,0,0,0,0,1,13,32,59,184,100,35,66,45,0,0,0,2,17,29,100,253,123,34,55,43,0,0,0,2,2,6,7,18,9,2,6,3,0,0,0,75,111,112,103,67,41,0,0,0,0,0,0,117,115,166,106,60,44,0,0,0,0,0,0,15,8,7,6,4,5,0,0,0,0,0,0,456,38,28,7,510,84,38,8,38,11,3,0,168,165,201,0,0,0,0,141,214,303,0,0,0,0,8,23,25,0,0,0,0,232,203,79,0,0,0,0,209,270,142,0,0,0,0,19,13,14,0,0,0,0,269,266,300,359,22,33,322,148,12,28,360,206,16,35,37,9,4,1,123,166,139,106,189,184,172,114,16,17,14,9,426,107,472,180,44,12,0.417334974,0.432713032,0.45167923,0.473692,0.502961636,0.455676174,0,0,2,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0,1,0,0,0,99,"The federal deficit is now estimated to run over 100 billion dollars for this year and next, or even higher. Some Republicans and Democrats in Congress have proposed some tax and spending changes in order to reduce the record federal deficit. T",FALSE,TRUE,FALSE,FALSE,1
12,152,1982,0,NA,0,1,taxation,53,58,80,51,53,72,122,102,0,0,0,0,46,64,66,76,49,85,109,84,0,0,0,0,1,4,5,7,4,6,16,23,0,0,0,0,2,12,33,74,232,115,34,63,31,0,0,0,1,17,28,83,194,111,32,59,57,0,0,0,3,3,6,8,28,6,6,6,3,0,0,0,93,130,143,99,58,32,0,0,0,0,0,0,97,90,128,108,66,56,0,0,0,0,0,0,17,14,13,7,8,3,0,0,0,0,0,0,487,56,36,5,468,66,30,6,47,11,2,3,129,202,267,0,0,0,0,179,175,229,0,0,0,0,10,24,33,0,0,0,0,222,238,109,0,0,0,0,217,225,114,0,0,0,0,21,23,12,0,0,0,0,268,330,295,288,27,40,349,177,13,26,319,181,18,34,50,4,1,4,133,187,165,113,182,154,141,105,12,26,17,12,458,134,431,149,51,16,0.514040232,0.552600503,0.546875,0.499266386,0.41198355,0.504953134,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,1,0,0,0,0,99,"The federal deficit is now estimated to run over 100 billion dollars for this year and next, or even higher. Some Republicans and Democrats in Congress have proposed some tax and spending changes in order to reduce the record federal deficit. T",FALSE,FALSE,TRUE,TRUE,-1
16,204,1982,0,NA,0,1,taxation,46,76,95,75,58,82,153,128,0,0,0,0,46,51,56,61,51,78,105,59,0,0,0,0,1,0,3,1,1,3,8,11,0,0,0,0,2,22,29,92,263,121,49,80,52,0,0,0,2,14,17,53,183,64,33,87,56,0,0,0,0,3,5,7,6,5,1,1,1,0,0,0,129,170,191,121,55,25,0,0,0,0,0,0,60,65,106,97,88,71,0,0,0,0,0,0,10,1,5,5,1,1,0,0,0,0,0,0,603,58,34,10,387,70,36,6,24,3,1,0,166,251,297,0,0,0,0,124,169,216,0,0,0,0,7,9,13,0,0,0,0,244,310,139,0,0,0,0,191,194,102,0,0,0,0,7,9,5,0,0,0,0,336,379,248,261,8,21,412,198,23,28,293,148,16,28,18,3,1,1,196,194,202,123,131,153,121,104,3,12,11,3,534,170,384,121,25,4,0.689673126,0.706427634,0.659479856,0.535444021,0.338481784,0.585901284,0,1,3,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,1,0,0,0,0,1,"Some Republicans and Democrats in Congress have proposed some spending and tax changes in order to reduce the record federal deficit. To cut the size of the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Raising the federal",FALSE,FALSE,TRUE,TRUE,-1
17,259,1983,0,NA,0,1,foreign pol,60,70,73,68,66,91,160,118,0,0,0,0,34,60,62,58,47,73,88,56,0,0,0,0,1,1,5,3,6,13,18,11,0,0,0,0,1,16,23,87,288,125,43,87,38,0,0,0,3,4,15,40,130,78,32,86,93,0,0,0,0,7,2,12,19,8,2,5,3,0,0,0,104,141,164,125,82,49,0,0,0,0,0,0,53,79,81,99,70,72,0,0,0,0,0,0,17,10,4,9,7,4,0,0,0,0,0,0,579,65,41,5,391,54,21,8,45,8,4,0,163,227,316,0,0,0,0,134,166,180,0,0,0,0,10,26,24,0,0,0,0,252,281,140,0,0,0,0,154,217,100,0,0,0,0,15,19,11,0,0,0,0,333,374,251,231,15,45,431,188,20,38,279,110,18,50,41,10,2,3,192,197,193,126,123,136,118,103,8,24,20,7,534,169,382,97,46,10,0.653089225,0.662039876,0.634002805,0.566450715,0.454131484,0.593942821,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,1,0,0,1,"(READ SLOWLY) This year Congress is considering a bill which would place restrictions on the import of Japanese and other foreign cars into the United States. Any Japanese or other foreign auto manufacturer who sells over 100,000 new cars in th",FALSE,FALSE,TRUE,TRUE,-1
18,276,1983,0,NA,0,1,taxation,57,46,61,62,46,80,112,86,0,0,0,0,45,75,77,62,56,86,122,89,0,0,0,0,5,4,5,8,4,7,23,27,0,0,0,0,2,13,18,48,191,112,26,92,47,0,0,0,0,21,26,59,196,100,42,108,58,0,0,0,2,5,7,10,25,10,6,13,4,0,0,0,62,89,142,102,68,55,0,0,0,0,0,0,94,112,111,100,77,70,0,0,0,0,0,0,28,14,10,10,8,3,0,0,0,0,0,0,465,44,33,6,485,78,34,4,69,9,1,0,136,185,231,0,0,0,0,145,203,267,0,0,0,0,22,38,22,0,0,0,0,189,232,101,0,0,0,0,234,236,102,0,0,0,0,26,27,7,0,0,0,0,0,0,0,0,0,0,296,169,22,36,355,182,17,34,56,16,2,6,0,0,0,0,0,0,0,0,0,0,0,0,424,123,485,119,68,13,0.404966831,0.495984137,0.534538746,0.516976058,0.448128998,0.480118954,0,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,-1,"It has been suggested that one way to reduce the size of the federal deficit would be to make some changes in the 10% across-the-board federal income tax cut due to take place this July. If the 10% tax cut takes place, the loss of federal reven",FALSE,FALSE,TRUE,FALSE,-1
19,278,1983,0,NA,1,1,taxation,50,57,62,58,34,70,76,45,0,0,0,0,53,63,69,63,58,81,133,110,0,0,0,0,4,5,12,12,14,22,48,48,0,0,0,0,1,8,6,31,136,95,25,93,56,0,0,0,0,18,31,65,228,107,42,94,44,0,0,0,4,13,14,23,48,20,7,27,9,0,0,0,48,70,92,84,70,59,0,0,0,0,0,0,96,118,138,108,73,56,0,0,0,0,0,0,40,26,33,20,10,13,0,0,0,0,0,0,379,43,23,4,494,77,40,4,145,11,6,2,123,143,185,0,0,0,0,138,220,273,0,0,0,0,41,64,61,0,0,0,0,164,186,80,0,0,0,0,232,249,111,0,0,0,0,54,60,19,0,0,0,0,0,0,0,0,0,0,244,130,20,35,360,199,18,31,103,39,3,11,0,0,0,0,0,0,0,0,0,0,0,0,356,89,486,138,135,28,0.657087028,0.624536157,0.58792758,0.544067502,0.499692857,0.582662225,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,1,0,0,0,0,0,Some leading Republicans and Democrats in Congress have suggested one way to cut the record federal deficit would be not to link the federal income tax to rises in the cost of living. These people say that linking automatically means a higher f,FALSE,FALSE,TRUE,TRUE,-1
21,348,1984,0,NA,0,1,defense,25,49,103,91,69,54,33,112,95,0,0,0,19,31,59,65,60,49,37,116,66,0,0,0,1,1,4,6,11,9,9,28,41,0,0,0,8,14,57,208,138,52,93,62,0,0,0,0,5,15,34,155,88,43,102,58,0,0,0,0,3,5,19,40,14,5,20,4,0,0,0,0,59,103,168,131,92,54,0,0,0,0,0,0,36,56,124,97,82,73,0,0,0,0,0,0,14,14,19,24,12,6,0,0,0,0,0,0,533,58,30,4,433,34,23,4,100,5,2,2,135,188,309,0,0,0,0,191,150,163,0,0,0,0,32,23,55,0,0,0,0,194,283,140,0,0,0,0,234,206,57,0,0,0,0,34,52,10,0,0,0,0,274,358,310,194,30,80,360,183,31,37,337,102,17,23,73,23,6,2,172,166,183,111,123,154,124,103,22,40,31,17,453,174,391,110,90,20,0.624606967,0.611940622,0.583534181,0.534718752,0.468332171,0.564626539,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,"Now, let me ask you about specific bills that have been passed by the House of Representatives on which Speaker O’Neill has taken leadership positions. For each, tell me if you favor or oppose that bill. READ EACH ITEM Item: Delaying for one ye",FALSE,FALSE,TRUE,TRUE,-1
24,375,1985,0,NA,0,1,foreign pol,48,59,92,87,90,52,45,73,53,0,0,0,49,51,71,78,56,58,52,107,83,0,0,0,1,1,7,7,5,5,0,10,15,0,0,0,54,172,174,112,87,0,0,0,0,0,0,0,83,205,151,97,69,0,0,0,0,0,0,0,12,17,9,7,6,0,0,0,0,0,0,0,51,66,170,132,103,63,0,0,0,0,0,0,51,91,154,123,86,86,0,0,0,0,0,0,10,13,11,6,1,5,0,0,0,0,0,0,488,65,36,8,532,40,25,5,46,3,1,0,168,184,247,0,0,0,0,196,210,199,0,0,0,0,18,20,13,0,0,0,0,190,258,145,0,0,0,0,234,266,95,0,0,0,0,19,16,9,0,0,0,0,287,312,311,294,23,28,355,141,29,54,379,152,14,45,29,10,2,6,150,187,145,117,148,186,158,113,15,16,9,11,471,127,491,113,43,6,0.458381116,0.512485862,0.530717134,0.516216636,0.469427347,0.497445619,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,"Earlier this year, the House of Representatives passed a bill which would put economic sanctions on South Africa in order to get them to abandon and change their policy of apartheid. The U.S. Senate will be voting on this issue in the next week",FALSE,FALSE,TRUE,FALSE,-1
