"Q1","Q2","Q3","Q4","Q5AF1","Q5BF1","Q5CF1","Q5DF1","Q5AF2","Q5BF2","Q5CF2","Q5DF2","Q6A","Q6B","RELIG","BORN","QNO","CASEID","SEX","HEADHH","EMPLOY","PARTY","PARTYLN","PARTYFUL","OCCUP","MARITAL","OWN","HHNUM","CHILD1","CHILD2","CHILD3","EDUC","AGE","HISP","RACE1","RACE2","RACE3","RACE4","INC1","INC2","INC3","WEIGHT","TIMEZONE","STATE","METRO","DIVISION","REGION","INTDATE"
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Catholic ",NA,328000009,9,"Female ","Yes ","Not currently employed ","Democrat ",NA,"Democrat ",NA,"Divorced ","Rent ","One ",NA,NA,NA,"Some college, but no degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.309,"Eastern","NEW YORK","Outside Center City, Inside Center City County ","Middle Atlantic","North East ",81111
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328000025,25,"Female ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.5049,"Eastern","MASSACHUSETTS","Outside Center City, Inside Center City County ","New England","North East ",81111
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","No ","No ","Catholic ",NA,328000050,50,"Male ","Yes ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.3337,"Eastern","NEW YORK","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81111
"Favor ",NA,"Favor ","Know what term means ","Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328000064,64,"Male ","Yes ","Employed part time ","Independent ","Neither/Other ","Independent ","Blue collar -- semiskilled, unskilled ","Married ","Own ","Two ","No ","No ","No ","High school complete (grade 12) ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.5604,"Eastern","GEORGIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81111
"Don't know/Refused ","Don't know/Refused ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly disagree ","No ","No ","Jewish ",NA,328000082,82,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Married ","Rent ","Two ","No ","No ","No ","High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.4083,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81111
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Catholic ",NA,328000084,84,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Divorced ","Rent ","One ",NA,NA,NA,"Postgraduate Degree, such as Master's, PH.D., MD, JD ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.5049,"Eastern","NEW YORK","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81111
"Don't know/Refused ","Mostly agree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely disagree ","Completely disagree ","Yes ","No ","Catholic ",NA,328000119,119,"Male ","Yes ","Self employed ","Independent ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","No ","No ","College graduate/Bachelors degree ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.2784,"Eastern","NEW YORK","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81211
"Oppose ","Mostly agree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Mostly disagree ","Completely agree ","Don't know/Refused ","Don't know/Refused ","Christian or 'Just Christian' ","No ",328000123,123,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","Blue collar -- craftsmen/Foremen ","Divorced ","Own ","Two ","No ","No ","Yes ","Some college, but no degree ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.6209,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81311
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely disagree ","Completely disagree ","Completely disagree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Christian or 'Just Christian' ","Yes ",328000152,152,"Male ","Yes ","Self employed ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Married ","Rent ","Three ","No ","No ","No ","High school complete (grade 12) ","35-39 ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,0.9856,"Eastern","MICHIGAN","In Center City of Metropolitan Area ","East North Central","Midwest ",81111
"Strongly oppose ","Mostly disagree ","Oppose ","Never heard of term ",NA,NA,NA,NA,"Mostly disagree ","Mostly disagree ","Completely disagree ","Mostly agree ","No ","No ","Refused ",NA,328000155,155,"Male ","Refused/Nr ","Refused/Nr ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,4.1132,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81111
