"St Name","St Abr","Co Name","So Order","Co Order","fips St","fips Co","fips"
"Alabama","AL","Autauga County                                                    ","01","001","01","001","01001"
"Alabama","AL","Baldwin County                                                    ","01","002","01","003","01003"
"Alabama","AL","Barbour County                                                    ","01","003","01","005","01005"
"Alabama","AL","Bibb County                                                       ","01","004","01","007","01007"
"Alabama","AL","Blount County                                                     ","01","005","01","009","01009"
"Alabama","AL","Bullock County                                                    ","01","006","01","011","01011"
"Alabama","AL","Butler County                                                     ","01","007","01","013","01013"
"Alabama","AL","Calhoun County                                                    ","01","008","01","015","01015"
"Alabama","AL","Chambers County                                                   ","01","009","01","017","01017"
"Alabama","AL","Cherokee County                                                   ","01","010","01","019","01019"
"Alabama","AL","Chilton County                                                    ","01","011","01","021","01021"
"Alabama","AL","Choctaw County                                                    ","01","012","01","023","01023"
"Alabama","AL","Clarke County                                                     ","01","013","01","025","01025"
"Alabama","AL","Clay County                                                       ","01","014","01","027","01027"
"Alabama","AL","Cleburne County                                                   ","01","015","01","029","01029"
"Alabama","AL","Coffee County                                                     ","01","016","01","031","01031"
"Alabama","AL","Colbert County                                                    ","01","017","01","033","01033"
"Alabama","AL","Conecuh County                                                    ","01","018","01","035","01035"
"Alabama","AL","Coosa County                                                      ","01","019","01","037","01037"
"Alabama","AL","Covington County                                                  ","01","020","01","039","01039"
"Alabama","AL","Crenshaw County                                                   ","01","021","01","041","01041"
"Alabama","AL","Cullman County                                                    ","01","022","01","043","01043"
"Alabama","AL","Dale County                                                       ","01","023","01","045","01045"
"Alabama","AL","Dallas County                                                     ","01","024","01","047","01047"
"Alabama","AL","DeKalb County                                                     ","01","025","01","049","01049"
"Alabama","AL","Elmore County                                                     ","01","026","01","051","01051"
"Alabama","AL","Escambia County                                                   ","01","027","01","053","01053"
"Alabama","AL","Etowah County                                                     ","01","028","01","055","01055"
"Alabama","AL","Fayette County                                                    ","01","029","01","057","01057"
"Alabama","AL","Franklin County                                                   ","01","030","01","059","01059"
"Alabama","AL","Geneva County                                                     ","01","031","01","061","01061"
"Alabama","AL","Greene County                                                     ","01","032","01","063","01063"
"Alabama","AL","Hale County                                                       ","01","033","01","065","01065"
"Alabama","AL","Henry County                                                      ","01","034","01","067","01067"
"Alabama","AL","Houston County                                                    ","01","035","01","069","01069"
"Alabama","AL","Jackson County                                                    ","01","036","01","071","01071"
"Alabama","AL","Jefferson County                                                  ","01","037","01","073","01073"
"Alabama","AL","Lamar County                                                      ","01","038","01","075","01075"
"Alabama","AL","Lauderdale County                                                 ","01","039","01","077","01077"
"Alabama","AL","Lawrence County                                                   ","01","040","01","079","01079"
"Alabama","AL","Lee County                                                        ","01","041","01","081","01081"
"Alabama","AL","Limestone County                                                  ","01","042","01","083","01083"
"Alabama","AL","Lowndes County                                                    ","01","043","01","085","01085"
"Alabama","AL","Macon County                                                      ","01","044","01","087","01087"
"Alabama","AL","Madison County                                                    ","01","045","01","089","01089"
"Alabama","AL","Marengo County                                                    ","01","046","01","091","01091"
"Alabama","AL","Marion County                                                     ","01","047","01","093","01093"
"Alabama","AL","Marshall County                                                   ","01","048","01","095","01095"
"Alabama","AL","Mobile County                                                     ","01","049","01","097","01097"
"Alabama","AL","Monroe County                                                     ","01","050","01","099","01099"
"Alabama","AL","Montgomery County                                                 ","01","051","01","101","01101"
"Alabama","AL","Morgan County                                                     ","01","052","01","103","01103"
"Alabama","AL","Perry County                                                      ","01","053","01","105","01105"
"Alabama","AL","Pickens County                                                    ","01","054","01","107","01107"
"Alabama","AL","Pike County                                                       ","01","055","01","109","01109"
"Alabama","AL","Randolph County                                                   ","01","056","01","111","01111"
"Alabama","AL","Russell County                                                    ","01","057","01","113","01113"
"Alabama","AL","Shelby County                                                     ","01","058","01","117","01117"
"Alabama","AL","St. Clair County                                                  ","01","059","01","115","01115"
"Alabama","AL","Sumter County                                                     ","01","060","01","119","01119"
"Alabama","AL","Talladega County                                                  ","01","061","01","121","01121"
"Alabama","AL","Tallapoosa County                                                 ","01","062","01","123","01123"
"Alabama","AL","Tuscaloosa County                                                 ","01","063","01","125","01125"
"Alabama","AL","Walker County                                                     ","01","064","01","127","01127"
"Alabama","AL","Washington County                                                 ","01","065","01","129","01129"
"Alabama","AL","Wilcox County                                                     ","01","066","01","131","01131"
"Alabama","AL","Winston County                                                    ","01","067","01","133","01133"
"Alaska","AK","Aleutians East Borough                                            ","02","001","02","013","02013"
"Alaska","AK","Aleutians West Census Area                                        ","02","002","02","016","02016"
"Alaska","AK","Anchorage Borough                                                 ","02","003","02","020","02020"
"Alaska","AK","Bethel Census Area                                                ","02","004","02","050","02050"
"Alaska","AK","Bristol Bay Borough                                               ","02","005","02","060","02060"
"Alaska","AK","Dillingham Census Area                                            ","02","006","02","070","02070"
"Alaska","AK","Fairbanks North Star Borough                                      ","02","007","02","090","02090"
"Alaska","AK","Haines Borough                                                    ","02","008","02","100","02100"
"Alaska","AK","Juneau Borough                                                    ","02","009","02","110","02110"
"Alaska","AK","Kenai Peninsula Borough                                           ","02","010","02","122","02122"
"Alaska","AK","Ketchikan Gateway Borough                                         ","02","011","02","130","02130"
"Alaska","AK","Kodiak Island Borough                                             ","02","012","02","150","02150"
"Alaska","AK","Lake and Peninsula Borough                                        ","02","013","02","164","02164"
"Alaska","AK","Matanuska-Susitna Borough                                         ","02","014","02","170","02170"
"Alaska","AK","Nome Census Area                                                  ","02","015","02","180","02180"
"Alaska","AK","North Slope Borough                                               ","02","016","02","185","02185"
"Alaska","AK","Northwest Arctic Borough                                          ","02","017","02","188","02188"
"Alaska","AK","Prince of Wales-Outer Ketchikan Census Area                       ","02","018","02","201","02201"
"Alaska","AK","Sitka Borough                                                     ","02","019","02","220","02220"
"Alaska","AK","Skagway-Yakutat-Angoon Census Area                                ","02","020","02","231","02231"
"Alaska","AK","Southeast Fairbanks Census Area                                   ","02","021","02","240","02240"
"Alaska","AK","Valdez-Cordova Census Area                                        ","02","022","02","261","02261"
"Alaska","AK","Wade Hampton Census Area                                          ","02","023","02","270","02270"
"Alaska","AK","Wrangell-Petersburg Census Area                                   ","02","024","02","280","02280"
"Alaska","AK","Yukon-Koyukuk Census Area                                         ","02","025","02","290","02290"
"Arizona","AZ","Apache County                                                     ","03","001","04","001","04001"
"Arizona","AZ","Cochise County                                                    ","03","002","04","003","04003"
"Arizona","AZ","Coconino County                                                   ","03","003","04","005","04005"
"Arizona","AZ","Gila County                                                       ","03","004","04","007","04007"
"Arizona","AZ","Graham County                                                     ","03","005","04","009","04009"
"Arizona","AZ","Greenlee County                                                   ","03","006","04","011","04011"
"Arizona","AZ","La Paz County                                                     ","03","007","04","012","04012"
"Arizona","AZ","Maricopa County                                                   ","03","008","04","013","04013"
"Arizona","AZ","Mohave County                                                     ","03","009","04","015","04015"
"Arizona","AZ","Navajo County                                                     ","03","010","04","017","04017"
"Arizona","AZ","Pima County                                                       ","03","011","04","019","04019"
"Arizona","AZ","Pinal County                                                      ","03","012","04","021","04021"
"Arizona","AZ","Santa Cruz County                                                 ","03","013","04","023","04023"
"Arizona","AZ","Yavapai County                                                    ","03","014","04","025","04025"
"Arizona","AZ","Yuma County                                                       ","03","015","04","027","04027"
"Arkansas","AR","Arkansas County                                                   ","04","001","05","001","05001"
"Arkansas","AR","Ashley County                                                     ","04","002","05","003","05003"
"Arkansas","AR","Baxter County                                                     ","04","003","05","005","05005"
"Arkansas","AR","Benton County                                                     ","04","004","05","007","05007"
"Arkansas","AR","Boone County                                                      ","04","005","05","009","05009"
"Arkansas","AR","Bradley County                                                    ","04","006","05","011","05011"
"Arkansas","AR","Calhoun County                                                    ","04","007","05","013","05013"
"Arkansas","AR","Carroll County                                                    ","04","008","05","015","05015"
"Arkansas","AR","Chicot County                                                     ","04","009","05","017","05017"
"Arkansas","AR","Clark County                                                      ","04","010","05","019","05019"
"Arkansas","AR","Clay County                                                       ","04","011","05","021","05021"
"Arkansas","AR","Cleburne County                                                   ","04","012","05","023","05023"
"Arkansas","AR","Cleveland County                                                  ","04","013","05","025","05025"
"Arkansas","AR","Columbia County                                                   ","04","014","05","027","05027"
"Arkansas","AR","Conway County                                                     ","04","015","05","029","05029"
"Arkansas","AR","Craighead County                                                  ","04","016","05","031","05031"
"Arkansas","AR","Crawford County                                                   ","04","017","05","033","05033"
"Arkansas","AR","Crittenden County                                                 ","04","018","05","035","05035"
"Arkansas","AR","Cross County                                                      ","04","019","05","037","05037"
"Arkansas","AR","Dallas County                                                     ","04","020","05","039","05039"
"Arkansas","AR","Desha County                                                      ","04","021","05","041","05041"
"Arkansas","AR","Drew County                                                       ","04","022","05","043","05043"
"Arkansas","AR","Faulkner County                                                   ","04","023","05","045","05045"
"Arkansas","AR","Franklin County                                                   ","04","024","05","047","05047"
"Arkansas","AR","Fulton County                                                     ","04","025","05","049","05049"
"Arkansas","AR","Garland County                                                    ","04","026","05","051","05051"
"Arkansas","AR","Grant County                                                      ","04","027","05","053","05053"
"Arkansas","AR","Greene County                                                     ","04","028","05","055","05055"
"Arkansas","AR","Hempstead County                                                  ","04","029","05","057","05057"
"Arkansas","AR","Hot Spring County                                                 ","04","030","05","059","05059"
"Arkansas","AR","Howard County                                                     ","04","031","05","061","05061"
"Arkansas","AR","Independence County                                               ","04","032","05","063","05063"
"Arkansas","AR","Izard County                                                      ","04","033","05","065","05065"
"Arkansas","AR","Jackson County                                                    ","04","034","05","067","05067"
"Arkansas","AR","Jefferson County                                                  ","04","035","05","069","05069"
"Arkansas","AR","Johnson County                                                    ","04","036","05","071","05071"
"Arkansas","AR","Lafayette County                                                  ","04","037","05","073","05073"
"Arkansas","AR","Lawrence County                                                   ","04","038","05","075","05075"
"Arkansas","AR","Lee County                                                        ","04","039","05","077","05077"
"Arkansas","AR","Lincoln County                                                    ","04","040","05","079","05079"
"Arkansas","AR","Little River County                                               ","04","041","05","081","05081"
"Arkansas","AR","Logan County                                                      ","04","042","05","083","05083"
"Arkansas","AR","Lonoke County                                                     ","04","043","05","085","05085"
"Arkansas","AR","Madison County                                                    ","04","044","05","087","05087"
"Arkansas","AR","Marion County                                                     ","04","045","05","089","05089"
"Arkansas","AR","Miller County                                                     ","04","046","05","091","05091"
"Arkansas","AR","Mississippi County                                                ","04","047","05","093","05093"
"Arkansas","AR","Monroe County                                                     ","04","048","05","095","05095"
"Arkansas","AR","Montgomery County                                                 ","04","049","05","097","05097"
"Arkansas","AR","Nevada County                                                     ","04","050","05","099","05099"
"Arkansas","AR","Newton County                                                     ","04","051","05","101","05101"
"Arkansas","AR","Ouachita County                                                   ","04","052","05","103","05103"
"Arkansas","AR","Perry County                                                      ","04","053","05","105","05105"
"Arkansas","AR","Phillips County                                                   ","04","054","05","107","05107"
"Arkansas","AR","Pike County                                                       ","04","055","05","109","05109"
"Arkansas","AR","Poinsett County                                                   ","04","056","05","111","05111"
"Arkansas","AR","Polk County                                                       ","04","057","05","113","05113"
"Arkansas","AR","Pope County                                                       ","04","058","05","115","05115"
"Arkansas","AR","Prairie County                                                    ","04","059","05","117","05117"
"Arkansas","AR","Pulaski County                                                    ","04","060","05","119","05119"
"Arkansas","AR","Randolph County                                                   ","04","061","05","121","05121"
"Arkansas","AR","Saline County                                                     ","04","062","05","125","05125"
"Arkansas","AR","Scott County                                                      ","04","063","05","127","05127"
"Arkansas","AR","Searcy County                                                     ","04","064","05","129","05129"
"Arkansas","AR","Sebastian County                                                  ","04","065","05","131","05131"
"Arkansas","AR","Sevier County                                                     ","04","066","05","133","05133"
