"FIPS","State","Pop","Youth","Adult","Senior","White_Non","White_His","Black_Non","Black_His","Native_Non","Native_His","Asian_Non","Asian_His"
"01001","01",35985,11481,20965,3539,28595,212,6920,32,87,0,138,1
"01003","01",106595,29697,60481,16417,91500,1065,13013,69,676,7,263,2
"01005","01",26941,8288,14881,3772,14651,86,12077,34,46,4,43,0
"01007","01",17403,5348,9902,2153,13676,29,3672,9,10,0,7,0
"01009","01",40822,11326,24071,5425,39703,395,547,2,138,3,34,0
"01011","01",11125,3565,5901,1659,3004,27,8055,28,6,0,5,0
"01013","01",21794,6979,11157,3658,12945,41,8771,11,13,0,13,0
"01015","01",115804,32550,68456,14798,92085,1080,21347,131,316,0,813,32
"01017","01",37045,10567,20261,6217,23469,79,13438,24,24,0,11,0
"01019","01",20181,5242,11893,3046,18790,48,1286,1,37,0,19,0
"01021","01",33503,9670,19251,4582,29537,136,3726,10,58,0,35,1
"01023","01",16206,5095,8824,2287,9023,18,7143,17,4,0,1,0
"01025","01",27522,8975,14967,3580,15650,45,11721,43,33,0,30,0
"01027","01",13425,3656,7473,2296,11208,27,2174,1,10,0,5,0
"01029","01",12850,3606,7501,1743,12242,39,549,0,15,0,5,0
"01031","01",41469,11581,24334,5554,33184,463,7245,34,199,2,336,6
"01033","01",52827,14010,30921,7896,43628,169,8773,17,143,0,95,2
"01035","01",14233,4266,7529,2438,8154,22,6013,20,18,0,6,0
"01037","01",11177,3198,6406,1573,7330,9,3818,5,14,0,1,0
"01039","01",36950,10128,20442,6380,31948,116,4769,3,77,0,37,0
"01041","01",13511,3874,7187,2450,10003,20,3473,1,11,0,3,0
"01043","01",69908,19134,40589,10185,68694,348,594,3,147,7,115,0
"01045","01",49833,15276,29808,4749,38551,1008,9161,122,240,0,714,37
"01047","01",47940,16356,24989,6595,19346,59,28334,45,28,0,128,0
"01049","01",56883,15665,33057,8161,54940,325,1031,3,489,15,78,2
